cousina cuisine 
fi dans
ana je
klit mange 
tfaha pomme 
le l
ostad professeur
kichrh explique
drss cour 
f dans
l la
9ism classe
rah est
9bih mechant
mzn bien
hna ici
fikra idee
hwa il
dwa illumine
homa ils
tswira image
tkhayl imagine
3imara immeuble
jmad immobilise
mohim important
dariba impot
3la_rfla inattendu
ghalet incorrect
dkiy intelligent
3ayr insulte
ma3had institut
aked insiste
hachara insect
makhlo3 inquiet
bari2 innocent
dag_libra injecter
ma9adir ingredients
akhbar infos
ma3lomat information
farmli infirmiere
3ada infecter
hrram interdire
mamno3 interdit
mohim interessant
dakhel interieur
dawli international
ngassa interrupteur
skran intoxique
3rada invitation
3rad_3la invite
ghira jalousie
ghar_mn jaloux
yanayer janvier
hadi9a jardin
sfer jaune
ana je
djin jean
lah jete
lo3ba jeux
lkhmis jeudi
chab jeune
frha joie
zwin jolie
l3ab joueur
nhar jour
sahafi journaliste
3adala justice
ghir juste
3asir jus
younyo juin
youliuz juillet
yhoudi juif
hkam juger
mokhtabar laboratoire
khayb laid
khli laisse
logha langue
3rid large
dem3a larme
ghsel lave
drss lecon
khfif leger
hor libre
mktaba librairie
horia liberte
hom leurs
hom leur
harf lettre
ina_wahd lequel
bchwiya lentement
b3d_rda lendemain
9ra lire
ktab livre
manti9 logique
9anon loi
b3id loin
twil long
we9t_twil longtemps
kra loyer
t9il lourd
howa lui
dow lumiere
tnin lundi
9amar lune
ndader lunettes
dyali ma
makina machine
bnay macon
lala madame
mahal magasin
majala magazine
sihr magie
may mai
yad main
daba maintenant
walakin mais
dar maison
aghlabia majorite
mrid malade
mard maladie
wakha malgre
lil2assaf malheureusement
mama maman
kla manger
tari9a maniere
khass manquant
monto manteau
khdar marchand
mchi marche
tlat mardi
3ars mariage
maghrib maroc
maghribi marocain
marka marque
9hwi marron
marss mars
riadiat mathematique
mada matiere
sbah matin
khayb mauvais
nssast_lil minuit
wazir ministre
r9i9 mince
khlat melange
hsan mieux
messaj message
dyali mes
om mere
stah9 merite
larb3 mercredi
chokran merci
bhar mer
kdab menteur
3a9liya mentalite
kedba mensonge
tahdid menance
dwa medicament
tbib medecin
d9i9a minute
mo3jiza miracle
mraya miroir
3asri moderne
mtwad3 modeste
ana moi
9l moins
chhar mois
ns moitie
dyali mon
3alam monde
sidi monsieur
mot mort
jam3 mosquee
klma mot
hiyt mur
moslim musulman
3am nage
zyada naissance
tabi3a nature
tabi3i naturel
bwodoh nettement
n9a nettoyer
la non
smiya nom
khal noir
3o9da noeud
mostawa niveau
chamal nord
3adi normal
dyawlna nos
no9ta note
dyalna notre
hna nous
makla nourriture
jdid nouveau
khbar nouvelles
nowanbir novembre
dbad nuage
lil nuit
ra9m numero
darouri obligatoire
bzaz oblige
dlam obscurite
monassaba occasion
machrol occupe
oktobr octobre
riha odeur
3in oeil
dell ombre
3emm oncle
zawiya ongle
nddm organise
msned oreiller
wdn oreille
limoni orange
forsa oppurtunite
3amalia operation
asl origine
khayria orphelinat
nssa oublie
gharb ouest
ah oui
meme nafs
lacreme creme 
ladrissa adresse
lafoute faute
lagrice graisse
lasosse sauce
lbartma appartement
lbatri batterie
lamba lampe
fabor gratuit
factoura facture
3otla vacance
3a2ila famille 
farina farine 
9dim ancien 
jakita jaquette
jarda jardin 
kanbot idiot
kika cake 
galizi legalise 
ma eau 
5bz pain
gouma gomme
jakita jaquette
mohnsdis ingenieur 
tiyara avion
bato bateau 
tobis bus
tomobile voiture 
boucklita velo
banka banque 
sbitar hopital
limn droite 
lisr gauche 
chamal nord 
janob sud 
char9 est
gharb ouest
miya cent 
lbarh hier
lyoum aujoudhui
rda demain 
sha sante 
jou3 faim
9hwa cafe 
atay the 
danger 5atar
boulice police 
non la 
chwiya peu
mbrok felicitation 
nsit oublie 
kan9lb cherche 
bchwiya doucement
3yit fatigue 
bezzaf boucoup
l9it trouve 
chokran merci 
liana pour
nouba tour 
kanbri aime 
daba maintenant 
wa5a daccord 
n9dr peux
t9dr peut
hnaya ici 
5tafa disparait
f9dt  perdu 
dow lumiere 
bab porte 
chrjm fenetre 
zit huile 
5dra legumes
fawakih fruits
lhit mur 
bnt fille
wld garcon
mraya meroire 
flous argents
kacha couverture 
jrda jardin 
brit vuex 
chrit achete
riha parfain 
koursiy chaise 
far souris
9ta chat
klb chien 
ch3r cheuveux 
sb3 doigt 
sb3an doigts
pomada pomade 
mlha sel 
chms soleil
hilal lune 
namousiya lit 
rjlin pieds
chta pluie 
mdl parapluie 
ktab livre 
9alam crayon 
dftar cahier
wr9a feuille 
loun couleur 
zn9a rue 
taxi taxi 
lhm viande 
7out poissons
mtihan examen 
3asabiy nerveux 
tbib medcin
frmli infermier 
3skri soldat 
wjh visage 
mdraca ecole 
fom bouche 
3inin yeux
nif nez 
ydin mains
sabon savon 
hdrt parler
wldat couchee
lhawa air
3amal travail
hayawan animal 
moujawharat bijoux 
byd blanche 
khl noire 
klaw mangent 
s3ib severe 
shih fort 
kbir grand 
r9i9 mince 
9sir petit 
fdiha catastrophe 
djaja poule 
n3s dormir
lil nuit 
nhar jour 
d5l entre 
l9ism classe 
nsit oublie
bztami mon-portefeuille
wach est-ce-que
kat9blo vous-acceptez
kart carte 
guichet guichet 



